country|year|pib|life_expect|murderers|population
Afghanistan|1877|734|27.9||4290000
Afghanistan|1878|736|28.0||4310000
Afghanistan|1879|739|28.1||4330000
Afghanistan|1880|741|28.1||4350000
Afghanistan|1881|758|28.2||4380000
Afghanistan|1882|774|28.3||4400000
Afghanistan|1883|791|28.3||4420000
Afghanistan|1884|807|28.4||4440000
Afghanistan|1885|824|28.5||4460000
Afghanistan|1886|840|28.5||4490000
Afghanistan|1887|858|28.6||4510000
Afghanistan|1888|874|28.6||4530000
Afghanistan|1889|892|28.7||4550000
Afghanistan|1890|909|28.8||4580000
Afghanistan|1891|926|28.8||4600000
Afghanistan|1892|944|28.9||4620000
Afghanistan|1893|961|29.0||4650000
Afghanistan|1894|979|29.0||4670000
Afghanistan|1895|997|29.1||4690000
Afghanistan|1896|1010|29.1||4710000
Afghanistan|1897|1030|29.2||4740000
Afghanistan|1898|1050|29.3||4760000
Afghanistan|1899|1070|29.3||4790000
Afghanistan|1900|1090|29.4||4830000
Afghanistan|1901|1110|29.5||4880000
Afghanistan|1902|1120|29.5||4940000
Afghanistan|1903|1140|29.6||5000000
Afghanistan|1904|1160|29.7||5060000
Afghanistan|1905|1180|29.7||5130000
Afghanistan|1906|1200|29.8||5200000
Afghanistan|1907|1220|29.9||5260000
Afghanistan|1908|1240|29.9||5330000
Afghanistan|1909|1260|30.0||5470000
Afghanistan|1910|1280|30.0||5680000
Afghanistan|1911|1300|30.1||5980000
Afghanistan|1912|1320|30.2||6360000
Afghanistan|1913|1340|30.2||6850000
Afghanistan|1914|1360|30.3||7370000
Afghanistan|1915|1380|30.3||7920000
Afghanistan|1916|1400|30.4||8520000
Afghanistan|1917|1430|30.5||9170000
Afghanistan|1918|1450|7.97||9880000
Afghanistan|1919|1470|30.6||10300000
Afghanistan|1920|1490|30.6||10600000
Afghanistan|1921|1520|30.7||10500000
Afghanistan|1922|1550|30.8||10300000
Afghanistan|1923|1570|30.8||9710000
Afghanistan|1924|1600|30.9||9200000
Afghanistan|1925|1630|31.0||8720000
Afghanistan|1926|1650|31.0||8260000
Afghanistan|1927|1680|31.1||7830000
Afghanistan|1928|1710|31.1||7420000
Afghanistan|1929|1740|31.2||7100000
Afghanistan|1930|1770|31.3||6870000
Afghanistan|1931|1790|31.3||6720000
Afghanistan|1932|1820|31.4||6640000
Afghanistan|1933|1850|31.4||6640000
Afghanistan|1934|1880|31.5||6640000
Afghanistan|1935|1910|31.6||6640000
Afghanistan|1936|1940|31.6||6640000
Afghanistan|1937|1970|31.7||6640000
Afghanistan|1938|2000|31.8||6640000
Afghanistan|1939|2030|31.8||6660000
Afghanistan|1940|2060|31.9||6700000
Afghanistan|1941|2090|31.9||6770000
Afghanistan|1942|2130|32.0||6850000
Afghanistan|1943|2160|32.1||6950000
Afghanistan|1944|2190|32.1||7060000
Afghanistan|1945|2220|32.2||7170000
Afghanistan|1946|2260|32.2||7280000
Afghanistan|1947|2290|32.3||7390000
Afghanistan|1948|2320|32.4||7500000
Afghanistan|1949|2360|32.4||7620000
Afghanistan|1950|2390|32.5||7750000
Afghanistan|1951|2420|32.9||7840000
Afghanistan|1952|2460|33.6||7940000
Afghanistan|1953|2570|34.3||8040000
Afghanistan|1954|2580|35.0||8150000
Afghanistan|1955|2580|35.7||8270000
Afghanistan|1956|2640|36.4||8400000
Afghanistan|1957|2590|37.1||8540000
Afghanistan|1958|2680|37.9||8680000
Afghanistan|1959|2710|38.6||8830000
Afghanistan|1960|2740|39.3||9000000
Afghanistan|1961|2700|40.0||9170000
Afghanistan|1962|2680|40.8||9350000
Afghanistan|1963|2670|41.5||9540000
Afghanistan|1964|2650|42.3||9740000
Afghanistan|1965|2640|43.0||9960000
Afghanistan|1966|2600|43.7||10200000
Afghanistan|1967|2600|44.5||10400000
Afghanistan|1968|2620|45.2||10600000
Afghanistan|1969|2590|45.9||10900000
Afghanistan|1970|2570|46.6||11200000
Afghanistan|1971|2500|46.8||11500000
Afghanistan|1972|2030|46.8||11800000
Afghanistan|1973|2030|46.9||12100000
Afghanistan|1974|2080|47.0||12400000
Afghanistan|1975|2150|47.1||12700000
Afghanistan|1976|2210|47.3||12900000
Afghanistan|1977|2040|47.5||13200000
Afghanistan|1978|2130|45.9||13300000
Afghanistan|1979|2030|44.4||13400000
Afghanistan|1980|2020|44.1||13400000
Afghanistan|1981|2260|44.9||13200000
Afghanistan|1982|2500|44.6||12900000
Afghanistan|1983|2650|42.8||12500000
Afghanistan|1984|2620|40.5||12200000
Afghanistan|1985|2550|42.4||11900000
Afghanistan|1986|2620|43.4||11700000
Afghanistan|1987|2360|45.5||11600000
Afghanistan|1988|2140|47.9||11600000
Afghanistan|1989|1940|51.7||11900000
Afghanistan|1990|1860|52.6|2070.0|12400000
Afghanistan|1991|1650|52.4|2200.0|13300000
Afghanistan|1992|1520|52.9|2380.0|14500000
Afghanistan|1993|1010|53.1|2600.0|15800000
Afghanistan|1994|721|52.7|2830.0|17100000
Afghanistan|1995|1030|53.3|3020.0|18100000
Afghanistan|1996|942|53.8|3160.0|18900000
Afghanistan|1997|865|53.7|3270.0|19400000
Afghanistan|1998|800|52.8|3350.0|19700000
Afghanistan|1999|735|54.4|3450.0|20200000
Afghanistan|2000|687|54.6|3590.0|20800000
Afghanistan|2001|646|54.8|3790.0|21600000
Afghanistan|2002|1020|55.6|3990.0|22600000
Afghanistan|2003|1060|56.4|4310.0|23700000
Afghanistan|2004|1030|56.9|4570.0|24700000
Afghanistan|2005|1100|57.4|4750.0|25700000
Afghanistan|2006|1120|57.6|4850.0|26400000
Afghanistan|2007|1250|58.0|4910.0|27100000
Afghanistan|2008|1270|58.8|4960.0|27700000
Afghanistan|2009|1500|59.3|4990.0|28400000
Afghanistan|2010|1670|59.9|4940.0|29200000
Afghanistan|2011|1630|60.4|5020.0|30100000
Afghanistan|2012|1770|60.8|5190.0|31200000
Afghanistan|2013|1810|61.3|5560.0|32300000
Afghanistan|2014|1800|61.2|5820.0|33400000
Afghanistan|2015|1770|61.2|6060.0|34400000
Afghanistan|2016|1760|61.2|6270.0|35400000
Afghanistan|2017|1760|63.4||36300000
Afghanistan|2018|1740|63.7||37200000
Afghanistan|2019|1760|64.1||38000000
Afghanistan|2020|1800|64.4||38900000
Afghanistan|2021|1850|64.7||39800000
Afghanistan|2022|1900|65.1||40800000
Afghanistan|2023|1970|65.4||41700000
Afghanistan|2024|2050|65.7||42600000
Afghanistan|2025|2140|65.9||43500000
Afghanistan|2026|2220|66.2||44400000
Afghanistan|2027|2290|66.5||45400000
Afghanistan|2028|2360|66.7||46300000
Afghanistan|2029|2430|67.0||47200000
Afghanistan|2030|2490|67.2||48100000
Afghanistan|2031|2550|67.4||49000000
Afghanistan|2032|2600|67.7||49900000
Afghanistan|2033|2660|67.9||50800000
Afghanistan|2034|2710|68.1||51700000
Afghanistan|2035|2770|68.3||52600000
Afghanistan|2036|2820|68.5||53500000
Afghanistan|2037|2880|68.7||54300000
Afghanistan|2038|2940|68.9||55200000
Afghanistan|2039|3000|69.0||56100000
Afghanistan|2040|3060|69.2||56900000
Afghanistan|2041||69.4||57700000
Afghanistan|2042||69.6||58600000
Afghanistan|2043||69.7||59400000
Afghanistan|2044||69.9||60200000
Afghanistan|2045||70.1||61000000
Afghanistan|2046||70.2||61700000
Afghanistan|2047||70.4||62500000
Afghanistan|2048||70.5||63200000
Afghanistan|2049||70.7||64000000
Afghanistan|2050||70.8||64700000
Afghanistan|2051||71.0||65400000
Afghanistan|2052||71.1||66100000
Afghanistan|2053||71.3||66700000
Afghanistan|2054||71.4||67400000
Afghanistan|2055||71.6||68000000
Afghanistan|2056||71.7||68600000
Afghanistan|2057||71.8||69200000
Afghanistan|2058||72.0||69800000
Afghanistan|2059||72.1||70300000
Afghanistan|2060||72.3||70800000
Afghanistan|2061||72.4||71400000
Afghanistan|2062||72.5||71800000
Afghanistan|2063||72.7||72300000
Afghanistan|2064||72.8||72800000
Afghanistan|2065||72.9||73200000
Afghanistan|2066||73.1||73600000
Afghanistan|2067||73.2||74000000
Afghanistan|2068||73.3||74300000
Afghanistan|2069||73.5||74700000
Afghanistan|2070||73.6||75000000
Afghanistan|2071||73.7||75300000
Afghanistan|2072||73.9||75500000
Afghanistan|2073||74.0||75800000
Afghanistan|2074||74.2||76000000
Afghanistan|2075||74.3||76200000
Afghanistan|2076||74.4||76400000
Afghanistan|2077||74.6||76500000
Afghanistan|2078||74.7||76700000
Afghanistan|2079||74.8||76800000
Afghanistan|2080||75.0||76900000
Afghanistan|2081||75.1||76900000
Afghanistan|2082||75.2||77000000
Afghanistan|2083||75.4||77000000
Afghanistan|2084||75.5||77000000
Afghanistan|2085||75.6||77000000
Afghanistan|2086||75.8||77000000
Afghanistan|2087||75.9||76900000
Afghanistan|2088||76.0||76900000
Afghanistan|2089||76.2||76800000
Afghanistan|2090||76.3||76700000
Afghanistan|2091||76.5||76600000
Afghanistan|2092||76.6||76400000
Afghanistan|2093||76.7||76300000
Afghanistan|2094||76.9||76100000
Afghanistan|2095||77.0||76000000
Afghanistan|2096||77.1||75800000
Afghanistan|2097||77.3||75600000
Afghanistan|2098||77.4||75400000
Afghanistan|2099||77.5||75200000
Afghanistan|2100||77.7||74900000
Albania|1800|667|35.4||400000
Albania|1801|667|35.4||402000
Albania|1802|667|35.4||404000
Albania|1803|667|35.4||405000
Albania|1804|667|35.4||407000
Albania|1805|668|35.4||409000
Albania|1806|668|35.4||411000
Albania|1807|668|35.4||413000
Albania|1808|668|35.4||414000
Albania|1809|668|35.4||416000
Albania|1810|668|35.4||418000
Albania|1811|668|35.4||420000
Albania|1812|668|35.4||422000
Albania|1813|668|35.4||424000
Albania|1814|668|35.4||426000
Albania|1815|669|35.4||427000
Albania|1816|669|35.4||429000
Albania|1817|669|35.4||431000
Albania|1818|669|35.4||433000
Albania|1819|669|35.4||435000
Albania|1820|669|35.4||437000
Albania|1821|671|35.4||439000
Albania|1822|672|35.4||441000
Albania|1823|674|35.4||443000
Albania|1824|675|35.4||445000
Albania|1825|677|35.4||447000
Albania|1826|678|35.4||449000
Albania|1827|680|35.4||451000
Albania|1828|681|35.4||453000
Albania|1829|683|35.4||455000
Albania|1830|684|35.4||457000
Albania|1831|686|35.4||459000
Albania|1832|688|35.4||461000
Albania|1833|689|35.4||463000
Albania|1834|691|35.4||465000
Albania|1835|692|35.4||467000
Albania|1836|694|35.4||470000
Albania|1837|695|35.4||472000
Albania|1838|697|35.4||474000
Albania|1839|699|35.4||476000
Albania|1840|700|35.4||478000
Albania|1841|702|35.4||480000
Albania|1842|703|35.4||482000
Albania|1843|705|35.4||485000
Albania|1844|707|35.4||487000
Albania|1845|708|35.4||489000
Albania|1846|710|35.4||491000
Albania|1847|711|35.4||493000
Albania|1848|713|35.4||496000
Albania|1849|715|35.4||498000
Albania|1850|716|35.4||501000
Albania|1851|718|35.4||505000
Albania|1852|720|35.4||510000
Albania|1853|721|35.4||515000
Albania|1854|723|35.4||520000
Albania|1855|724|35.4||525000
Albania|1856|726|35.4||530000
Albania|1857|728|35.4||535000
Albania|1858|729|35.4||540000
Albania|1859|731|35.4||545000
Albania|1860|733|35.4||551000
Albania|1861|738|35.4||556000
Albania|1862|745|35.4||561000
Albania|1863|751|35.4||567000
Albania|1864|757|35.4||572000
Albania|1865|763|35.4||578000
Albania|1866|770|35.4||584000
Albania|1867|776|35.4||589000
Albania|1868|782|35.4||595000
Albania|1869|788|35.4||601000
Albania|1870|795|35.4||606000
Albania|1871|807|35.4||612000
Albania|1872|819|35.4||618000
Albania|1873|831|35.4||624000
Albania|1874|843|35.4||630000
Albania|1875|855|35.4||636000
Albania|1876|868|35.4||642000
Albania|1877|881|35.4||648000
Albania|1878|894|35.4||655000
Albania|1879|907|35.4||661000
Albania|1880|920|35.4||667000
Albania|1881|934|35.4||674000
Albania|1882|947|35.4||680000
Albania|1883|961|35.4||687000
Albania|1884|976|35.4||693000
Albania|1885|990|35.4||700000
Albania|1886|1010|35.4||707000
Albania|1887|1020|35.4||714000
Albania|1888|1030|35.4||720000
Albania|1889|1050|35.4||727000
Albania|1890|1070|35.4||735000
Albania|1891|1080|35.4||742000
Albania|1892|1100|35.4||749000
Albania|1893|1110|35.4||757000
Albania|1894|1130|35.4||764000
Albania|1895|1140|35.4||772000
Albania|1896|1160|35.4||780000
Albania|1897|1170|35.4||788000
Albania|1898|1190|35.4||795000
Albania|1899|1200|35.4||803000
Albania|1900|1220|35.4||811000
Albania|1901|1240|35.4||819000
Albania|1902|1250|35.4||826000
Albania|1903|1270|35.4||834000
Albania|1904|1290|35.4||842000
Albania|1905|1300|35.4||849000
Albania|1906|1320|35.4||857000
Albania|1907|1340|35.4||865000
Albania|1908|1350|35.4||873000
Albania|1909|1370|35.4||881000
Albania|1910|1390|35.4||888000
Albania|1911|1410|35.4||895000
Albania|1912|1430|35.4||901000
Albania|1913|1450|35.4||907000
Albania|1914|1460|35.4||913000
Albania|1915|1470|35.4||919000
Albania|1916|1480|35.4||926000
Albania|1917|1490|35.4||932000
Albania|1918|1510|19.4||938000
Albania|1919|1520|35.4||944000
Albania|1920|1530|35.4||949000
Albania|1921|1550|35.4||955000
Albania|1922|1560|35.4||960000
Albania|1923|1570|35.4||965000
Albania|1924|1580|35.4||970000
Albania|1925|1600|35.4||975000
Albania|1926|1610|35.4||980000
Albania|1927|1620|35.4||985000
Albania|1928|1640|35.4||990000
Albania|1929|1650|35.4||997000
Albania|1930|1660|36.3||1000000
Albania|1931|1660|37.2||1010000
Albania|1932|1670|38.1||1020000
Albania|1933|1680|39.0||1030000
Albania|1934|1680|39.9||1040000
Albania|1935|1690|40.7||1050000
Albania|1936|1690|41.6||1060000
Albania|1937|1700|42.5||1080000
Albania|1938|1710|43.4||1090000
Albania|1939|1710|43.0||1100000
Albania|1940|1720|42.0||1110000
Albania|1941|1730|41.5||1120000
Albania|1942|1730|40.0||1140000
Albania|1943|1740|37.0||1150000
Albania|1944|1750|34.0||1160000
Albania|1945|1750|47.0||1180000
Albania|1946|1760|50.0||1190000
Albania|1947|1760|51.5||1210000
Albania|1948|1770|52.4||1220000
Albania|1949|1780|53.3||1240000
Albania|1950|1780|54.1||1260000
Albania|1951|1860|54.4||1290000
Albania|1952|1860|54.8||1320000
Albania|1953|1940|55.4||1350000
Albania|1954|2000|56.1||1380000
Albania|1955|2100|57.0||1420000
Albania|1956|2130|57.9||1460000
Albania|1957|2260|58.9||1500000
Albania|1958|2360|60.0||1540000
Albania|1959|2460|61.1||1590000
Albania|1960|2590|62.2||1640000
Albania|1961|2610|63.3||1690000
Albania|1962|2690|64.2||1740000
Albania|1963|2790|64.9||1790000
Albania|1964|2880|65.4||1840000
Albania|1965|2990|65.8||1900000
Albania|1966|3100|66.1||1950000
Albania|1967|3220|66.3||2000000
Albania|1968|3330|66.4||2050000
Albania|1969|3440|66.6||2100000
Albania|1970|3570|66.9||2150000
Albania|1971|3710|67.5||2200000
Albania|1972|3860|68.1||2250000
Albania|1973|4050|68.7||2310000
Albania|1974|4070|69.3||2360000
Albania|1975|4080|69.8||2410000
Albania|1976|4100|70.3||2460000
Albania|1977|4120|70.8||2520000
Albania|1978|4140|71.2||2570000
Albania|1979|4160|71.5||2630000
Albania|1980|4190|71.7||2680000
Albania|1981|4210|71.8||2740000
Albania|1982|4230|72.0||2790000
Albania|1983|4260|72.1||2840000
Albania|1984|4280|72.3||2900000
Albania|1985|4300|72.4||2970000
Albania|1986|4330|72.6||3040000
Albania|1987|4360|72.6||3120000
Albania|1988|4390|72.8||3200000
Albania|1989|4420|73.1||3260000
Albania|1990|4460|73.3|160.0|3290000
Albania|1991|3230|73.0|182.0|3280000
Albania|1992|3020|73.4|201.0|3250000
Albania|1993|3320|73.9|221.0|3200000
Albania|1994|3620|74.5|239.0|3150000
Albania|1995|4130|74.6|267.0|3110000
Albania|1996|4530|74.4|295.0|3100000
Albania|1997|4060|72.5|327.0|3100000
Albania|1998|4450|74.5|338.0|3110000
Albania|1999|5060|74.6|309.0|3120000
Albania|2000|5440|74.9|260.0|3130000
Albania|2001|5950|75.2|224.0|3130000
Albania|2002|6240|75.3|189.0|3130000
Albania|2003|6610|75.4|155.0|3120000
Albania|2004|7000|75.6|124.0|3100000
Albania|2005|7430|76.0|94.4|3090000
Albania|2006|7910|76.4|82.9|3060000
Albania|2007|8450|76.9|82.7|3030000
Albania|2008|9160|77.0|77.5|3000000
Albania|2009|9530|77.5|67.5|2970000
Albania|2010|9930|77.6|68.4|2950000
Albania|2011|10200|77.7|68.5|2930000
Albania|2012|10400|77.8|68.5|2910000
Albania|2013|10500|77.9|68.7|2900000
Albania|2014|10700|77.9|68.9|2900000
Albania|2015|11000|78.0|69.2|2890000
Albania|2016|11400|78.1|69.5|2890000
Albania|2017|11800|78.2||2880000
Albania|2018|12300|78.3||2880000
Albania|2019|12700|78.5||2880000
Albania|2020|13200|78.6||2880000
Albania|2021|13800|78.7||2870000
Albania|2022|14400|78.8||2870000
Albania|2023|15000|78.9||2860000
Albania|2024|15600|79.1||2850000
Albania|2025|16200|79.2||2840000
Albania|2026|16800|79.3||2830000
Albania|2027|17400|79.5||2820000
Albania|2028|18000|79.7||2810000
Albania|2029|18500|79.8||2800000
Albania|2030|18900|80.0||2790000
Albania|2031|19400|80.2||2770000
Albania|2032|19800|80.3||2760000
Albania|2033|20200|80.5||2750000
Albania|2034|20600|80.6||2740000
Albania|2035|21000|80.8||2720000
Albania|2036|21500|80.9||2710000
Albania|2037|21900|81.0||2690000
Albania|2038|22300|81.2||2670000
Albania|2039|22800|81.3||2650000
Albania|2040|23300|81.4||2630000
Albania|2041||81.6||2620000
Albania|2042||81.7||2600000
Albania|2043||81.8||2580000
Albania|2044||82.0||2550000
Albania|2045||82.1||2530000
Albania|2046||82.3||2510000
Albania|2047||82.4||2490000
Albania|2048||82.5||2470000
Albania|2049||82.7||2450000
Albania|2050||82.8||2420000
Albania|2051||83.0||2400000
Albania|2052||83.1||2380000
Albania|2053||83.2||2360000
Albania|2054||83.4||2330000
Albania|2055||83.5||2310000
Albania|2056||83.6||2290000
Albania|2057||83.7||2260000
Albania|2058||83.9||2240000
Albania|2059||84.0||2210000
Albania|2060||84.1||2190000
Albania|2061||84.2||2170000
Albania|2062||84.3||2140000
Albania|2063||84.5||2120000
Albania|2064||84.6||2090000
Albania|2065||84.7||2070000
Albania|2066||84.8||2040000
Albania|2067||84.9||2020000
Albania|2068||85.0||1990000
Albania|2069||85.1||1970000
Albania|2070||85.2||1940000
Albania|2071||85.3||1920000
Albania|2072||85.4||1890000
Albania|2073||85.5||1860000
Albania|2074||85.7||1830000
Albania|2075||85.8||1810000
Albania|2076||85.8||1780000
Albania|2077||86.0||1750000
Albania|2078||86.0||1720000
Albania|2079||86.2||1690000
Albania|2080||86.3||1660000
Albania|2081||86.4||1630000
Albania|2082||86.5||1600000
Albania|2083||86.6||1570000
Albania|2084||86.7||1540000
Albania|2085||86.8||1510000
Albania|2086||86.9||1480000
Albania|2087||87.0||1450000
Albania|2088||87.1||1420000
Albania|2089||87.2||1390000
Albania|2090||87.3||1360000
Albania|2091||87.4||1330000
Albania|2092||87.5||1300000
Albania|2093||87.6||1270000
Albania|2094||87.7||1250000
Albania|2095||87.8||1220000
Albania|2096||87.9||1190000
Albania|2097||88.0||1170000
Albania|2098||88.1||1140000
Albania|2099||88.2||1110000
Albania|2100||88.3||1090000
Algeria|1800|715|28.8||2500000
Algeria|1801|716|28.8||2510000
Algeria|1802|717|28.8||2520000
Algeria|1803|718|28.8||2530000
Algeria|1804|719|28.8||2540000
Algeria|1805|720|28.8||2550000
Algeria|1806|721|28.8||2560000
Algeria|1807|722|28.8||2560000
Algeria|1808|723|28.8||2570000
Algeria|1809|724|28.8||2580000
Algeria|1810|725|28.8||2590000
Algeria|1811|726|28.8||2600000
Algeria|1812|727|28.8||2610000
Algeria|1813|728|28.8||2620000
Algeria|1814|729|28.8||2630000
Algeria|1815|730|28.8||2640000
Algeria|1816|731|28.8||2650000
Algeria|1817|732|28.8||2660000
Algeria|1818|733|28.8||2670000
Algeria|1819|734|28.8||2680000
Algeria|1820|735|28.8||2690000
Algeria|1821|743|28.8||2690000
Algeria|1822|751|28.8||2700000
Algeria|1823|759|28.8||2700000
Algeria|1824|767|28.8||2710000
Algeria|1825|775|28.8||2710000
Algeria|1826|784|28.8||2720000
Algeria|1827|792|28.8||2720000
Algeria|1828|801|28.8||2730000
Algeria|1829|810|28.8||2730000
Algeria|1830|819|28.8||2740000
Algeria|1831|828|28.8||2740000
Algeria|1832|837|28.8||2750000
Algeria|1833|846|28.8||2750000
Algeria|1834|855|28.8||2760000
Algeria|1835|864|28.8||2760000
Algeria|1836|874|28.8||2770000
Algeria|1837|883|28.8||2770000
Algeria|1838|893|28.8||2780000
Algeria|1839|903|28.8||2780000
Algeria|1840|912|28.8||2790000
Algeria|1841|922|28.8||2790000
Algeria|1842|932|28.8||2800000
Algeria|1843|943|28.8||2800000
Algeria|1844|953|28.8||2810000
Algeria|1845|963|28.8||2810000
Algeria|1846|974|28.8||2820000
Algeria|1847|984|28.8||2820000
Algeria|1848|995|28.8||2830000
Algeria|1849|1010|20.0||2840000
Algeria|1850|1020|15.0||2850000
Algeria|1851|1030|22.0||2870000
Algeria|1852|1040|28.8||2900000
Algeria|1853|1050|28.8||2920000
Algeria|1854|1060|28.8||2950000
Algeria|1855|1070|28.8||2980000
Algeria|1856|1090|28.8||3010000
Algeria|1857|1100|28.8||3040000
Algeria|1858|1110|28.8||3070000
Algeria|1859|1120|28.8||3100000
Algeria|1860|1130|28.8||3130000
Algeria|1861|1150|28.8||3170000
Algeria|1862|1160|28.8||3200000
Algeria|1863|1170|28.8||3230000
Algeria|1864|1180|28.8||3260000
Algeria|1865|1200|28.8||3290000
Algeria|1866|1210|28.8||3330000
Algeria|1867|1220|21.0||3360000
Algeria|1868|1240|11.0||3390000
Algeria|1869|1250|15.0||3430000
Algeria|1870|1260|22.0||3460000
Algeria|1871|1280|28.9||3500000
Algeria|1872|1290|28.9||3530000
Algeria|1873|1310|29.0||3570000
Algeria|1874|1320|29.0||3600000
Algeria|1875|1330|29.0||3640000
Algeria|1876|1350|29.1||3670000
Algeria|1877|1360|29.1||3710000
Algeria|1878|1380|29.2||3750000
Algeria|1879|1390|29.2||3790000
Algeria|1880|1410|29.3||3820000
Algeria|1881|1420|29.3||3860000
Algeria|1882|1440|29.4||3900000
Algeria|1883|1450|29.4||3940000
Algeria|1884|1470|29.4||3980000
Algeria|1885|1490|29.5||4020000
Algeria|1886|1500|29.5||4060000
Algeria|1887|1520|29.6||4100000
Algeria|1888|1540|29.6||4140000
Algeria|1889|1550|29.7||4180000
Algeria|1890|1570|29.7||4220000
Algeria|1891|1590|29.8||4260000
Algeria|1892|1600|29.8||4300000
Algeria|1893|1620|29.8||4340000
Algeria|1894|1640|29.9||4390000
Algeria|1895|1660|29.9||4430000
Algeria|1896|1680|30.0||4470000
Algeria|1897|1690|30.0||4510000
Algeria|1898|1710|30.1||4560000
Algeria|1899|1730|30.1||4610000
Algeria|1900|1750|30.2||4660000
Algeria|1901|1770|30.3||4730000
Algeria|1902|1790|30.4||4800000
Algeria|1903|1810|31.4||4880000
Algeria|1904|1830|25.4||4950000
Algeria|1905|1850|28.1||5030000
Algeria|1906|1870|29.6||5120000
Algeria|1907|1890|29.5||5200000
Algeria|1908|1910|29.5||5280000
Algeria|1909|1930|31.0||5360000
Algeria|1910|1950|32.7||5420000
Algeria|1911|2000|32.4||5470000
Algeria|1912|2050|33.8||5510000
Algeria|1913|2100|31.6||5530000
Algeria|1914|2130|31.1||5560000
Algeria|1915|2170|30.6||5590000
Algeria|1916|2210|30.3||5620000
Algeria|1917|2240|30.3||5640000
Algeria|1918|2280|23.7||5670000
Algeria|1919|2320|30.4||5710000
Algeria|1920|2360|29.6||5750000
Algeria|1921|2420|29.6||5800000
Algeria|1922|2480|29.4||5860000
Algeria|1923|2540|32.0||5920000
Algeria|1924|2600|33.5||5990000
Algeria|1925|2660|34.3||6050000
Algeria|1926|2720|33.6||6120000
Algeria|1927|2780|28.8||6190000
Algeria|1928|2830|32.4||6260000
Algeria|1929|2890|32.7||6340000
Algeria|1930|2950|34.0||6420000
Algeria|1931|3030|31.9||6520000
Algeria|1932|3110|33.3||6630000
Algeria|1933|3190|34.6||6740000
Algeria|1934|3280|34.0||6860000
Algeria|1935|3360|35.9||6990000
Algeria|1936|3440|37.1||7110000
Algeria|1937|3530|35.2||7230000
Algeria|1938|3610|34.6||7360000
Algeria|1939|3690|36.9||7490000
Algeria|1940|3780|37.3||7610000
Algeria|1941|3870|35.6||7730000
